city,surfaceArea,roomsQuantity,bedroomsQuantity,floorQuantity,floor,isInCondominium,price,district_libelle,surfaceArea_bins
Paris 15e,32.0,1.0,0.0,6.0,0.0,True,373635.0,Violet - Commerce,small
Paris 12e,120.67,6.0,3.0,20.0,19.0,True,1525000.0,Jardin de Reuilly,large
Paris 15e,77.0,3.0,2.0,6.0,13.0,True,735000.0,Dupleix - Motte Picquet,medium
Paris 13e,78.53,4.0,3.0,6.0,1.0,True,727000.0,Nationale - Deux Moulins,medium
Paris 15e,24.0,1.0,0.0,6.0,1.0,True,265000.0,Vaugirard - Parc des Expositions,small
Paris 15e,106.99,4.0,2.0,12.0,1.0,True,1550000.0,Dupleix - Motte Picquet,large
Paris 10e,85.0,5.0,3.0,7.0,3.0,True,880000.0,Louis Blanc - Aqueduc,medium
Paris 1er,87.0,4.0,2.0,6.0,7.0,True,2500000.0,Vendôme,medium
Paris 3e,65.68,3.0,2.0,4.0,3.0,True,785000.0,Sainte-Avoye,medium
Paris 11e,106.0,4.0,1.0,9.0,8.0,False,367368.0,Léon-Blum - Folie-Regnault,large
Paris 1er,233.5,6.0,4.0,6.0,1.0,True,2490000.0,Châtelet - Les Halles,large
Paris 18e,206.0,6.0,4.0,9.0,0.0,True,1400000.0,Jules Joffrin,large
Paris 20e,47.0,2.0,1.0,6.0,2.0,True,410000.0,Télégraphe - Pelleport - Saint-Fargeau,small
Paris 13e,97.4,6.0,5.0,6.0,1.0,True,1076400.0,Bièvre Sud - Tolbiac,medium
Paris 15e,151.0,5.0,3.0,6.0,1.0,True,1698000.0,Saint-Lambert - Convention,large
Paris 5e,61.0,3.0,1.0,6.0,1.0,True,680000.0,Monge - Jussieu,medium
Paris 19e,33.0,3.0,1.0,6.0,3.0,True,350000.0,Secrétan - Jaurès,small
Paris 20e,36.0,2.0,1.0,8.0,2.0,True,330000.0,Télégraphe - Pelleport - Saint-Fargeau,small
Paris 17e,44.42,3.0,1.0,6.0,5.0,True,540000.0,Courcelles - Wagram,small
Paris 17e,38.12,2.0,1.0,6.0,6.0,True,350000.0,Batignolles - Cardinet,small
Paris 20e,58.56,3.0,2.0,7.0,3.0,True,629000.0,Gambetta,small
Paris 20e,28.0,2.0,1.0,6.0,1.0,True,285000.0,Télégraphe - Pelleport - Saint-Fargeau,small
Paris 11e,47.0,3.0,2.0,6.0,4.0,False,540000.0,Belleville - Saint-Maur,small
Paris 19e,81.0,4.0,2.0,6.0,3.0,True,885000.0,Secrétan - Jaurès,medium
Paris 5e,45.0,3.0,2.0,6.0,0.0,True,445000.0,Val de Grâce,small
Paris 13e,54.0,3.0,2.0,2.0,0.0,True,515000.0,Patay - Masséna,small
Paris 19e,56.0,3.0,2.0,6.0,2.0,True,560496.0,Bassin de la Villette,small
Paris 12e,65.0,3.0,2.0,7.0,4.0,True,645000.0,Bel-Air - Sud,medium
Paris 9e,47.0,2.0,1.0,4.0,3.0,False,525000.0,Trudaine - Rochechouart,small
Paris 19e,11.0,1.0,0.0,6.0,1.0,True,134000.0,Buttes Chaumont - Laumière - Manin,small
Paris 14e,92.65,4.0,3.0,7.0,1.0,True,999000.0,Jean Moulin - Porte d'Orléans,medium
Paris 17e,8.0,1.0,1.0,4.0,4.0,True,85000.0,Ternes - Maillot,small
Paris 16e,78.0,3.0,2.0,6.0,0.0,True,945000.0,Dauphine,medium
Paris 14e,86.0,4.0,2.0,6.0,6.0,True,1012300.0,Montparnasse - Raspail,medium
Paris 13e,47.0,2.0,1.0,7.0,4.0,False,514800.0,Butte-aux-Cailles,small
Paris 18e,59.0,3.0,1.0,5.0,3.0,True,625000.0,Barbès - Château Rouge,small
Paris 15e,64.0,3.0,2.0,6.0,1.0,True,646500.0,Alleray - Procession,medium
