city,surfaceArea,roomsQuantity,bedroomsQuantity,floorQuantity,floor,isInCondominium,price,district_libelle,surfaceArea_bins
Paris 15e,70.0,3.0,2.0,8.0,4.0,True,639000.0,Alleray - Procession,medium
Paris 20e,60.0,3.0,2.0,9.0,8.0,True,580000.0,Gambetta,small
Paris 12e,50.01,2.0,1.0,13.0,1.0,True,420000.0,Vallée de Fecamp,small
Paris 13e,64.0,3.0,2.0,6.0,1.0,True,550000.0,Butte-aux-Cailles,medium
Paris 14e,40.0,2.0,1.0,6.0,5.0,True,406000.0,Jean Moulin - Porte d'Orléans,small
Paris 20e,64.0,3.0,2.0,6.0,1.0,True,615000.0,Gambetta,medium
Paris 18e,51.0,3.0,2.0,6.0,5.0,True,640000.0,Montmartre - Sacré Coeur - Abbesses,small
Paris 18e,64.0,3.0,1.0,6.0,4.0,True,690000.0,Grandes Carrières - Clichy,medium
Paris 18e,47.0,3.0,2.0,5.0,4.0,True,430000.0,La Chapelle - Marx Dormoy,small
Paris 17e,51.0,2.0,1.0,7.0,2.0,True,615000.0,Ternes - Maillot,small
Paris 2e,27.0,2.0,2.0,6.0,6.0,True,260000.0,Gaillon - Vivienne,small
Paris 2e,31.0,2.0,1.0,6.0,6.0,True,295000.0,Gaillon - Vivienne,small
Paris 15e,47.0,3.0,2.0,6.0,2.0,True,475000.0,Alleray - Procession,small
Paris 15e,36.0,2.0,1.0,5.0,1.0,True,464000.0,Pasteur - Montparnasse,small
Paris 10e,90.0,5.0,3.0,6.0,1.0,True,795000.0,Saint-Vincent de Paul - Lariboisière,medium
Paris 10e,75.41,4.0,2.0,6.0,2.0,True,740000.0,Saint-Vincent de Paul - Lariboisière,medium
Paris 19e,55.0,3.0,2.0,2.0,1.0,True,550000.0,Danube,small
Paris 11e,70.0,4.0,2.0,6.0,1.0,True,898500.0,République - Saint-Ambroise,medium
Paris 20e,93.0,4.0,3.0,9.0,3.0,True,846000.0,Plaine - Lagny,medium
Paris 18e,71.0,3.0,2.0,2.0,2.0,True,1175000.0,Montmartre - Sacré Coeur - Abbesses,medium
Paris 18e,67.0,3.0,2.0,8.0,6.0,True,560000.0,La Chapelle - Marx Dormoy,medium
Paris 13e,85.0,4.0,3.0,10.0,3.0,True,950000.0,Patay - Masséna,medium
Paris 11e,43.0,3.0,1.0,4.0,3.0,True,513000.0,République - Saint-Ambroise,small
Paris 10e,121.0,5.0,3.0,4.0,1.0,True,1299000.0,Canal Saint-Martin - Jemmapes,large
Paris 13e,83.0,4.0,2.0,30.0,11.0,False,45500.0,Nationale - Deux Moulins,medium
Paris 20e,39.0,2.0,1.0,6.0,1.0,True,379000.0,Belleville,small
Paris 18e,33.0,2.0,1.0,6.0,1.0,True,340000.0,Jules Joffrin,small
